store,site_code,st_type,tier,op.date,sqft,store_format,region,zone,fdu.non.fdu,apparel_area,festival
NSO_25,10000071,NSO,iii,2024-08-20T00:00:00Z,7500,Fashion,DELHI NCR,North,fdu,5625,dc
NSO_26,10000072,NSO,iii,2024-09-20T00:00:00Z,7500,Fashion,GUJRAT,North,fdu,5625,dc
NSO_27,10000073,NSO,iii,2024-09-20T00:00:00Z,7500,Fashion,DELHI NCR,North,fdu,5625,dc
NSO_28,10000074,NSO,iii,2024-09-20T00:00:00Z,7500,Fashion,J and K,North,fdu,5625,dc
NSO_29,10000075,NSO,iii,2024-09-20T00:00:00Z,7500,Fashion,GUJRAT,North,fdu,5625,dc
NSO_30,10000076,NSO,iii,2024-09-20T00:00:00Z,7500,Fashion,UP6,UP East,fdu,5625,dc
NSO_31,10000077,NSO,iii,2024-10-20T00:00:00Z,7500,Fashion,UP5,UP East,fdu,5625,dc
NSO_32,10000078,NSO,iii,2024-10-20T00:00:00Z,7500,Fashion,UP10,UP East,fdu,5625,dc
NSO_33,10000079,NSO,iii,2024-10-20T00:00:00Z,7500,Fashion,UP11,UP East,fdu,5625,dc
NSO_34,10000080,NSO,iii,2024-10-20T00:00:00Z,7500,Fashion,UP12,UP East,fdu,5625,dc
NSO_35,10000081,NSO,iii,2024-10-20T00:00:00Z,7500,Fashion,UP13,UP East,fdu,5625,dc
NSO_36,10000082,NSO,iii,2024-11-20T00:00:00Z,7500,Fashion,UP8,UP East,fdu,5625,dc
NSO_37,10000083,NSO,iii,2024-11-20T00:00:00Z,7500,Fashion,UP9,UP East,fdu,5625,dc
NSO_38,10000084,NSO,iii,2024-11-20T00:00:00Z,7500,Fashion,UP13,UP East,fdu,5625,dc
NSO_39,10000085,NSO,iii,2024-11-20T00:00:00Z,7500,Fashion,BIHAR 2,Bihar,fdu,5625,pdc
NSO_40,10000086,NSO,iii,2024-11-20T00:00:00Z,7500,Fashion,ODISHA,East/JHK,fdu,5625,purepujo
NSO_41,10000087,NSO,iii,2024-12-20T00:00:00Z,7500,Fashion,UP10,UP East,fdu,5625,dc
NSO_42,10000088,NSO,iii,2024-12-20T00:00:00Z,7500,Fashion,BIHAR 1,Bihar,fdu,5625,pdc
NSO_43,10000089,NSO,iii,2024-12-20T00:00:00Z,7500,Fashion,BIHAR 4,Bihar,fdu,5625,pdc
NSO_44,10000090,NSO,iii,2024-12-20T00:00:00Z,7500,Fashion,BIHAR 3,Bihar,fdu,5625,pdc
NSO_45,10000091,NSO,iii,2024-12-20T00:00:00Z,7500,Fashion,BIHAR 2,Bihar,fdu,5625,pdc
NSO_46,10000092,NSO,iii,2025-01-20T00:00:00Z,7500,Fashion,JHK2,East/JHK,fdu,5625,pdc
NSO_47,10000093,NSO,iii,2025-01-20T00:00:00Z,7500,Fashion,NE,East/JHK,fdu,5625,purepujo
NSO_48,10000094,NSO,iii,2025-01-20T00:00:00Z,7500,Fashion,ODISHA,East/JHK,fdu,5625,purepujo
NSO_49,10000095,NSO,iii,2025-01-20T00:00:00Z,7500,Fashion,WB1,East/JHK,fdu,5625,purepujo
NSO_50,10000096,NSO,iii,2025-01-20T00:00:00Z,7500,Fashion,WB1,East/JHK,fdu,5625,purepujo
NSO_51,10000097,NSO,iii,2025-02-20T00:00:00Z,7500,Fashion,WB1,East/JHK,fdu,5625,purepujo
NSO_52,10000098,NSO,iii,2025-02-20T00:00:00Z,7500,Fashion,WB2,East/JHK,fdu,5625,purepujo
NSO_53,10000099,NSO,iii,2025-02-20T00:00:00Z,7500,Fashion,WB1,East/JHK,fdu,5625,purepujo
NSO_54,10000100,NSO,iii,2025-02-20T00:00:00Z,7500,Fashion,RAJASTHAN-2,North,fdu,5625,dc
NSO_55,10000101,NSO,iii,2025-02-20T00:00:00Z,7500,Fashion,J and K,North,fdu,5625,dc
NSO_56,10000102,NSO,iii,2025-03-20T00:00:00Z,7500,Fashion,MP1,North,fdu,5625,dc
NSO_57,10000103,NSO,iii,2025-03-20T00:00:00Z,7500,Fashion,UP2,UP East,fdu,5625,dc
NSO_58,10000104,NSO,iii,2025-03-20T00:00:00Z,7500,Fashion,UP5,UP East,fdu,5625,dc
NSO_59,10000105,NSO,iii,2025-03-20T00:00:00Z,7500,Fashion,UP6,UP East,fdu,5625,dc
NSO_60,10000106,NSO,iii,2025-03-20T00:00:00Z,7500,Fashion,UP10,UP East,fdu,5625,dc
